Comment,Designator,Footprint,LCSC,Quantity
FerriteBead_Small,FB3,R_0603_1608Metric,C1002,1
470n,"C4,C5",C_0805_2012Metric,C13967,2
AO3401A,Q1,SOT-23-3,C15127,1
10R,R4,R_0805_2012Metric,C17415,1
1k,R8,R_0603_1608Metric,C21190,1
100k,"R1,R2",R_0603_1608Metric,C25803,2
10k,"R3,R5,R6",R_0603_1608Metric,C25804,3
100n,"C3,C7",C_0805_2012Metric,C28233,2
1u,"C10,C11,C12,C13,C2,C8,C9",C_0805_2012Metric,C28323,7
220uF,"C1,C6",CP_Elec_6.3x5.4,C2977551,2
TPA3110,U2,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_ThermalVias,C30132,1
Limit,SW1,SW-SMD_SK-3293S,C466006,1
1n,"C14,C15",C_0805_2012Metric,C46653,2
L_Ferrite,"L1,L2",IND-SMD_L7.5-W7.5,C58313,2
