Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF,CP_Elec_6.3x5.4,174.0,-148.1,90.0,bottom
C10,1u,C_0805_2012Metric,173.6,-150.4,90.0,top
C11,1u,C_0805_2012Metric,176.75,-142.5,0.0,top
C12,1u,C_0805_2012Metric,176.75,-140.25,0.0,top
C13,1u,C_0805_2012Metric,191.2,-151.29,0.0,top
C14,1n,C_0805_2012Metric,195.9,-134.9,0.0,top
C15,1n,C_0805_2012Metric,199.6,-136.3,180.0,top
C2,1u,C_0805_2012Metric,187.75,-136.5,90.0,top
C3,100n,C_0805_2012Metric,190.25,-136.5,90.0,top
C4,470n,C_0805_2012Metric,188.5,-139.5,180.0,top
C5,470n,C_0805_2012Metric,188.6,-142.7,90.0,top
C6,220uF,CP_Elec_6.3x5.4,174.0,-138.3,270.0,bottom
C7,100n,C_0805_2012Metric,185.75,-150.0,-90.0,top
C8,1u,C_0805_2012Metric,188.25,-150.0,-90.0,top
C9,1u,C_0805_2012Metric,176.75,-145.5,0.0,top
FB3,FerriteBead_Small,R_0603_1608Metric,161.4,-147.1,0.0,top
L1,L_Ferrite,IND-SMD_L7.5-W7.5,188.6,-137.3,180.0,bottom
L2,L_Ferrite,IND-SMD_L7.5-W7.5,187.4,-149.1,180.0,bottom
Q1,AO3401A,SOT-23-3,188.75,-146.5,0.0,top
R1,100k,R_0603_1608Metric,177.0375,-138.25,0.0,top
R2,100k,R_0603_1608Metric,177.0,-149.0,0.0,top
R3,10k,R_0603_1608Metric,161.4,-150.2,0.0,top
R4,10R,R_0805_2012Metric,173.5,-136.0,0.0,top
R5,10k,R_0603_1608Metric,171.4,-150.7,90.0,top
R6,10k,R_0603_1608Metric,165.2,-150.6,90.0,top
R8,1k,R_0603_1608Metric,161.3,-137.5,0.0,top
SW1,Limit,SW-SMD_SK-3293S,161.662473,-141.889923,-90.0,top
U2,TPA3110,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_ThermalVias,182.625,-143.1,0.0,top
